filename,label,prediction
/kaggle/input/vehicle-damage-identification/test/glass shatter/668.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/668.jpg', 'crack': 6.4955354e-18, 'dent': 4.0784e-22, 'glass shatter': 1.0, 'lamp broken': 5.906201e-19, 'scratch': 5.118175e-10, 'tire flat': 7.877248e-18}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5242.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5242.jpg', 'crack': 1.7663493e-10, 'dent': 4.8138257e-13, 'glass shatter': 0.99979764, 'lamp broken': 4.4504916e-16, 'scratch': 0.00020238092, 'tire flat': 3.2292861e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3808.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3808.jpg', 'crack': 1.387232e-12, 'dent': 8.548513e-16, 'glass shatter': 0.99999833, 'lamp broken': 6.03822e-15, 'scratch': 1.7177817e-06, 'tire flat': 6.056708e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6893.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6893.jpg', 'crack': 2.4107091e-15, 'dent': 4.325838e-14, 'glass shatter': 1.0, 'lamp broken': 3.4870726e-13, 'scratch': 2.9267325e-08, 'tire flat': 1.733898e-17}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/328.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/328.jpg', 'crack': 1.673279e-09, 'dent': 1.8954994e-08, 'glass shatter': 0.99998486, 'lamp broken': 1.51710765e-05, 'scratch': 1.510301e-09, 'tire flat': 5.6701957e-08}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/683.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/683.jpg', 'crack': 4.6377675e-15, 'dent': 4.8089558e-12, 'glass shatter': 1.0, 'lamp broken': 2.2630368e-15, 'scratch': 1.7744671e-14, 'tire flat': 1.41442635e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4844.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4844.jpg', 'crack': 2.4023483e-13, 'dent': 9.075672e-14, 'glass shatter': 1.0, 'lamp broken': 1.5449013e-10, 'scratch': 6.501205e-09, 'tire flat': 1.153054e-15}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/743.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/743.jpg', 'crack': 5.6882955e-23, 'dent': 7.333719e-27, 'glass shatter': 1.0, 'lamp broken': 1.8623992e-20, 'scratch': 1.9495994e-18, 'tire flat': 1.2031069e-20}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/2952.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2952.jpg', 'crack': 1.395901e-11, 'dent': 7.346324e-18, 'glass shatter': 1.0, 'lamp broken': 5.6476113e-13, 'scratch': 1.0937631e-08, 'tire flat': 1.3581861e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6256.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6256.jpg', 'crack': 1.5327882e-10, 'dent': 7.732736e-09, 'glass shatter': 1.0, 'lamp broken': 3.4502687e-09, 'scratch': 5.385195e-10, 'tire flat': 4.2770166e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/2051.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2051.jpg', 'crack': 2.4748031e-10, 'dent': 1.5248325e-11, 'glass shatter': 0.9999999, 'lamp broken': 7.504255e-08, 'scratch': 1.9625068e-08, 'tire flat': 3.815449e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4067.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4067.jpg', 'crack': 1.9221648e-26, 'dent': 1.0138065e-26, 'glass shatter': 1.0, 'lamp broken': 1.649287e-23, 'scratch': 1.9602036e-18, 'tire flat': 1.5149785e-23}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3077.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3077.jpg', 'crack': 4.971262e-10, 'dent': 0.00019528811, 'glass shatter': 0.9998047, 'lamp broken': 1.3506733e-11, 'scratch': 1.1678112e-08, 'tire flat': 1.5503796e-09}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/353.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/353.jpg', 'crack': 7.79458e-15, 'dent': 3.1072916e-14, 'glass shatter': 1.0, 'lamp broken': 1.2817547e-15, 'scratch': 2.962315e-09, 'tire flat': 5.965154e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/59.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/59.jpg', 'crack': 1.5926357e-13, 'dent': 4.5114174e-14, 'glass shatter': 1.0, 'lamp broken': 3.6482192e-11, 'scratch': 9.935787e-14, 'tire flat': 7.0510804e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/2346.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2346.jpg', 'crack': 5.711722e-06, 'dent': 0.0006678358, 'glass shatter': 0.9987509, 'lamp broken': 0.0004980487, 'scratch': 7.744926e-05, 'tire flat': 7.029324e-10}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/379.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/379.jpg', 'crack': 1.1283166e-07, 'dent': 0.006353828, 'glass shatter': 0.9935596, 'lamp broken': 3.019824e-06, 'scratch': 8.3487714e-05, 'tire flat': 3.295956e-08}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5758.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5758.jpg', 'crack': 3.6680166e-17, 'dent': 1.7589634e-21, 'glass shatter': 1.0, 'lamp broken': 7.291634e-17, 'scratch': 1.6251881e-09, 'tire flat': 1.5121762e-18}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1235.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1235.jpg', 'crack': 2.930993e-28, 'dent': 2.1598177e-29, 'glass shatter': 1.0, 'lamp broken': 7.246161e-24, 'scratch': 2.6579816e-20, 'tire flat': 3.280396e-25}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4069.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4069.jpg', 'crack': 9.153497e-19, 'dent': 7.855329e-10, 'glass shatter': 1.0, 'lamp broken': 4.775007e-17, 'scratch': 4.3858585e-16, 'tire flat': 4.9345356e-18}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5396.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5396.jpg', 'crack': 4.9161014e-19, 'dent': 4.653013e-20, 'glass shatter': 1.0, 'lamp broken': 5.7263054e-13, 'scratch': 4.169656e-15, 'tire flat': 1.1935563e-22}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3749.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3749.jpg', 'crack': 1.7215093e-15, 'dent': 6.7584635e-18, 'glass shatter': 1.0, 'lamp broken': 1.01159265e-19, 'scratch': 1.8016472e-11, 'tire flat': 4.3972414e-20}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5570.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5570.jpg', 'crack': 2.186006e-09, 'dent': 4.66654e-07, 'glass shatter': 0.99999905, 'lamp broken': 4.8274126e-07, 'scratch': 1.7767094e-08, 'tire flat': 8.536236e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1735.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1735.jpg', 'crack': 5.058992e-10, 'dent': 2.0657278e-09, 'glass shatter': 0.99999475, 'lamp broken': 2.6113387e-06, 'scratch': 2.360586e-06, 'tire flat': 1.91503e-07}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3715.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3715.jpg', 'crack': 5.440319e-10, 'dent': 1.623823e-07, 'glass shatter': 0.99997604, 'lamp broken': 2.3854614e-05, 'scratch': 4.0415063e-10, 'tire flat': 2.2809926e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5565.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5565.jpg', 'crack': 4.780842e-11, 'dent': 0.0014776756, 'glass shatter': 0.9983662, 'lamp broken': 0.00015495133, 'scratch': 1.1454305e-06, 'tire flat': 6.0934344e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1544.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1544.jpg', 'crack': 4.449438e-17, 'dent': 7.760978e-19, 'glass shatter': 1.0, 'lamp broken': 1.7949258e-17, 'scratch': 6.2009904e-11, 'tire flat': 1.1004193e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4513.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4513.jpg', 'crack': 6.3616967e-13, 'dent': 6.521245e-14, 'glass shatter': 1.0, 'lamp broken': 2.9004812e-11, 'scratch': 3.7216232e-14, 'tire flat': 2.3653992e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/2155.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2155.jpg', 'crack': 4.1339778e-13, 'dent': 1.4268507e-13, 'glass shatter': 1.0, 'lamp broken': 6.2053007e-10, 'scratch': 2.5036176e-10, 'tire flat': 2.7425388e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4691.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4691.jpg', 'crack': 4.8067446e-20, 'dent': 2.3240097e-19, 'glass shatter': 1.0, 'lamp broken': 3.5280474e-14, 'scratch': 2.8937064e-15, 'tire flat': 2.5331517e-19}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/6753.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/6753.jpg', 'crack': 4.0275804e-12, 'dent': 7.055059e-16, 'glass shatter': 0.9999949, 'lamp broken': 5.5441776e-11, 'scratch': 5.0680624e-06, 'tire flat': 8.653517e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4309.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4309.jpg', 'crack': 4.8025802e-14, 'dent': 3.5320358e-09, 'glass shatter': 1.0, 'lamp broken': 2.7972668e-11, 'scratch': 1.4580766e-13, 'tire flat': 1.6434514e-13}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5918.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5918.jpg', 'crack': 1.520853e-19, 'dent': 3.1412066e-16, 'glass shatter': 1.0, 'lamp broken': 7.8248147e-16, 'scratch': 1.7424722e-16, 'tire flat': 1.6556209e-17}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5625.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5625.jpg', 'crack': 1.7240417e-20, 'dent': 8.934374e-17, 'glass shatter': 1.0, 'lamp broken': 3.018184e-13, 'scratch': 7.315735e-13, 'tire flat': 8.865669e-22}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3248.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3248.jpg', 'crack': 0.09835799, 'dent': 0.385483, 'glass shatter': 0.25437018, 'lamp broken': 0.051228058, 'scratch': 0.21056028, 'tire flat': 5.522852e-07}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3835.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3835.jpg', 'crack': 2.7873066e-19, 'dent': 5.461705e-16, 'glass shatter': 1.0, 'lamp broken': 8.2123437e-19, 'scratch': 1.0398712e-15, 'tire flat': 1.2138011e-21}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/2678.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2678.jpg', 'crack': 1.1054449e-12, 'dent': 8.669992e-12, 'glass shatter': 1.0, 'lamp broken': 8.312553e-16, 'scratch': 3.1226064e-15, 'tire flat': 4.3800493e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1287.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1287.jpg', 'crack': 9.9285346e-12, 'dent': 2.4929636e-06, 'glass shatter': 0.9999974, 'lamp broken': 1.8086525e-11, 'scratch': 1.7272873e-07, 'tire flat': 3.3525186e-12}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5430.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5430.jpg', 'crack': 2.7677174e-18, 'dent': 4.8042125e-21, 'glass shatter': 1.0, 'lamp broken': 4.66593e-22, 'scratch': 1.0259779e-15, 'tire flat': 4.9656877e-20}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5416.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5416.jpg', 'crack': 2.8488503e-14, 'dent': 7.600145e-12, 'glass shatter': 1.0, 'lamp broken': 7.4306436e-13, 'scratch': 1.9542994e-09, 'tire flat': 2.5514096e-14}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3312.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3312.jpg', 'crack': 7.784881e-18, 'dent': 1.9818736e-10, 'glass shatter': 1.0, 'lamp broken': 1.60546e-10, 'scratch': 1.0626576e-13, 'tire flat': 1.5851788e-15}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/3276.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/3276.jpg', 'crack': 2.0238894e-13, 'dent': 8.4030665e-07, 'glass shatter': 0.99999917, 'lamp broken': 2.0582682e-09, 'scratch': 1.3117432e-09, 'tire flat': 5.7402516e-10}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/4244.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/4244.jpg', 'crack': 1.0882031e-19, 'dent': 2.853513e-20, 'glass shatter': 1.0, 'lamp broken': 3.238102e-16, 'scratch': 7.517459e-13, 'tire flat': 3.542286e-19}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/864.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/864.jpg', 'crack': 2.0973525e-17, 'dent': 4.8745194e-17, 'glass shatter': 1.0, 'lamp broken': 4.167046e-16, 'scratch': 1.1096002e-12, 'tire flat': 1.2119021e-17}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/455.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/455.jpg', 'crack': 2.5443662e-05, 'dent': 0.0003689885, 'glass shatter': 0.97894406, 'lamp broken': 1.9253876e-07, 'scratch': 0.020661268, 'tire flat': 1.0488805e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/2534.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/2534.jpg', 'crack': 1.2361304e-12, 'dent': 2.1423704e-08, 'glass shatter': 0.99986243, 'lamp broken': 0.00013754652, 'scratch': 4.2041344e-09, 'tire flat': 1.360956e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/1148.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/1148.jpg', 'crack': 9.31368e-13, 'dent': 1.3176796e-07, 'glass shatter': 0.9999999, 'lamp broken': 4.8011765e-11, 'scratch': 1.3335832e-13, 'tire flat': 1.4151759e-11}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/905.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/905.jpg', 'crack': 6.2422647e-18, 'dent': 3.101595e-14, 'glass shatter': 1.0, 'lamp broken': 1.3744543e-10, 'scratch': 3.5428962e-14, 'tire flat': 4.9186474e-21}"
/kaggle/input/vehicle-damage-identification/test/glass shatter/5598.jpg,glass shatter,"{'Filename': '/kaggle/input/vehicle-damage-identification/test/glass shatter/5598.jpg', 'crack': 2.5397585e-14, 'dent': 2.935689e-13, 'glass shatter': 0.99999297, 'lamp broken': 9.029994e-13, 'scratch': 7.091244e-06, 'tire flat': 5.029429e-17}"
